job,currency
Heritage manager,BIF
"Geologist, engineering",NOK
"Buyer, industrial",BZD
Colour technologist,BWP
"Optician, dispensing",ISK
"Administrator, education",PYG
"Engineer, civil (consulting)",CLP
Patent examiner,PLN
Banker,INR
"Production designer, theatre/television/film",AUD
"Civil engineer, consulting",KRW
Waste management officer,BBD
Retail merchandiser,KGS
Nature conservation officer,NAD
Nature conservation officer,IMP
Social researcher,AOA
"Designer, multimedia",SDG
IT sales professional,VEF
"Editor, commissioning",XOF
Animal technologist,HRK
"Designer, graphic",RON
Ophthalmologist,YER
"Pilot, airline",TND
Counselling psychologist,GHS
"Administrator, local government",SLL
"Sales professional, IT",IRR
Oncologist,BIF
Retail merchandiser,SAR
"Surveyor, building",SVC
"Engineer, site",LKR
Radio producer,BBD
"Surveyor, mining",SVC
Broadcast engineer,MNT
Secretary/administrator,RWF
"Education officer, environmental",MYR
Magazine features editor,NAD
Armed forces technical officer,EGP
"Engineer, civil (consulting)",MGA
Meteorologist,SZL
"Engineer, civil (consulting)",TJS
Theme park manager,SRD
Sports administrator,GMD
Systems developer,BSD
"Administrator, sports",LSL
"Surveyor, insurance",MWK
"Therapist, sports",LAK
Science writer,OMR
Insurance risk surveyor,MNT
"Nurse, adult",FKP
Dancer,NGN
Pharmacologist,EGP
Water quality scientist,AOA
"Development worker, international aid",MZN
Legal executive,IMP
Clinical molecular geneticist,VEF
"Education officer, community",DKK
Geophysicist/field seismologist,MNT
Air broker,UYU
Retail manager,UZS
Tax adviser,CVE
Exercise physiologist,HTG
"Psychotherapist, dance movement",IQD
Insurance broker,MDL
Recruitment consultant,USD
Data scientist,BBD
Animal technologist,KYD
Advertising copywriter,GBP
Training and development officer,ISK
Mining engineer,ILS
Petroleum engineer,ZAR
Civil Service administrator,XDR
Architect,DZD
Biomedical engineer,SPL
Biomedical engineer,BAM
"Producer, television/film/video",AWG
Intelligence analyst,MNT
"Designer, television/film set",ARS
Press photographer,AWG
"Surveyor, land/geomatics",SPL
Building control surveyor,MAD
"Librarian, public",VEF
Ophthalmologist,TZS
Financial manager,XCD
Hotel manager,BBD
Osteopath,BRL
Gaffer,VND
Rural practice surveyor,SGD
Ophthalmologist,GBP
"Engineer, civil (consulting)",COP
"Administrator, education",MWK
"Engineer, biomedical",XPF
Community arts worker,NZD
Financial adviser,AOA
Editorial assistant,TWD
Restaurant manager,AUD
Conference centre manager,MZN
Television production assistant,JOD
Firefighter,SZL
Geophysicist/field seismologist,AZN
Dancer,KRW
"Psychologist, prison and probation services",USD
Midwife,ANG
Sport and exercise psychologist,KPW
Art therapist,CZK
Mental health nurse,KYD
Dentist,ETB
"Research officer, political party",SGD
"Engineer, drilling",ALL
Quality manager,TMT
"Engineer, manufacturing systems",SBD
Soil scientist,GBP
Mechanical engineer,TVD
"Nurse, adult",BHD
"Teacher, early years/pre",COP
Medical technical officer,XPF
Secretary/administrator,TJS
Commissioning editor,PEN
Archivist,LSL
Music tutor,CNY
"Clinical scientist, histocompatibility and immunogenetics",PLN
Water engineer,PLN
"Conservation officer, nature",USD
"Exhibitions officer, museum/gallery",HUF
Operational investment banker,SOS
Arts development officer,TVD
Amenity horticulturist,ERN
TEFL teacher,NAD
"Production assistant, radio",PKR
Interpreter,TVD
Physiotherapist,MRO
Clinical embryologist,BSD
Systems analyst,QAR
Veterinary surgeon,NIO
Investment analyst,TZS
Financial risk analyst,KRW
Tourist information centre manager,RSD
Herpetologist,KZT
Horticultural consultant,IDR
Research scientist (medical),EGP
Early years teacher,ETB
Licensed conveyancer,DOP
Dramatherapist,SLL
Site engineer,GGP
"Lighting technician, broadcasting/film/video",CDF
Homeopath,KMF
"Engineer, chemical",MRO
Civil Service administrator,MWK
Exhibition designer,KZT
Educational psychologist,VEF
"Psychologist, occupational",QAR
Futures trader,NAD
TEFL teacher,PAB
Airline pilot,MVR
Advertising copywriter,ALL
"Librarian, academic",AWG
"Engineer, materials",AED
Risk manager,IDR
Bonds trader,CDF
"Designer, blown glass/stained glass",BGN
"Producer, radio",IMP
"Pilot, airline",LSL
Tourism officer,ANG
Broadcast presenter,EUR
Catering manager,MYR
Operational investment banker,INR
"Surveyor, minerals",BAM
Jewellery designer,BDT
Commercial horticulturist,DJF
Solicitor,MUR
Systems developer,UGX
Early years teacher,BBD
Audiological scientist,VUV
Clinical biochemist,CUP
Hotel manager,JEP
Artist,WST
Location manager,DZD
Press photographer,EUR
Food technologist,GBP
"Accountant, chartered public finance",TMT
Writer,AZN
Agricultural engineer,ZWD
Nature conservation officer,KMF
Nutritional therapist,PLN
Immigration officer,TZS
Engineering geologist,XPF
"Scientist, physiological",PEN
Communications engineer,GNF
Information officer,NZD
Chiropractor,JOD
Waste management officer,XAF
Corporate treasurer,SLL
Illustrator,ZAR
IT technical support officer,BYR
Software engineer,ALL
Manufacturing engineer,NPR
Cytogeneticist,NZD
Financial controller,LKR
Video editor,GYD
"Designer, furniture",CRC
Public house manager,NGN
Nutritional therapist,KWD
"Journalist, newspaper",AMD
Chiropractor,VND
Chief of Staff,ETB
"Engineer, petroleum",KPW
Water quality scientist,PHP
"Physicist, medical",AMD
"Engineer, land",LSL
"Accountant, chartered certified",XDR
Acupuncturist,CUC
Holiday representative,GBP
IT technical support officer,OMR
Technical brewer,XDR
Art gallery manager,CDF
Technical sales engineer,VEF
Product/process development scientist,AMD
Animator,BWP
"Accountant, chartered management",MDL
Haematologist,HRK
"Engineer, materials",BDT
"Geologist, engineering",IMP
Health physicist,UZS
Race relations officer,RSD
"Scientist, water quality",AED
Occupational therapist,CZK
Adult guidance worker,BGN
Private music teacher,ZMW
Economist,AZN
Estate agent,GTQ
"Lighting technician, broadcasting/film/video",SDG
Brewing technologist,MDL
Music therapist,TRY
Games developer,BBD
Set designer,GTQ
Politician's assistant,COP
Orthoptist,VEF
"Nurse, adult",KGS
Counselling psychologist,HTG
"Civil engineer, consulting",SPL
Proofreader,RSD
Industrial/product designer,MRO
Rural practice surveyor,VUV
Retail buyer,SZL
"Nurse, children's",KES
Interior and spatial designer,KWD
Gaffer,GYD
"Production designer, theatre/television/film",NOK
Pensions consultant,BDT
"Psychologist, forensic",COP
Ranger/warden,SZL
Restaurant manager,KES
Leisure centre manager,SYP
Information systems manager,TOP
Electrical engineer,NOK
Chief Technology Officer,NOK
Mudlogger,AMD
Geophysical data processor,BSD
"Surveyor, rural practice",GMD
"Journalist, magazine",HKD
Professor Emeritus,AUD
Fish farm manager,TOP
Call centre manager,PGK
"Exhibitions officer, museum/gallery",RUB
Advertising account executive,RON
Housing manager/officer,LBP
Podiatrist,THB
Accommodation manager,PYG
Human resources officer,CHF
Social worker,CDF
International aid/development worker,LYD
"Psychologist, occupational",ARS
Hospital pharmacist,MVR
Telecommunications researcher,SBD
"Radiographer, diagnostic",MWK
Psychiatrist,AMD
Records manager,CUC
Contracting civil engineer,CZK
Engineering geologist,RWF
Product/process development scientist,BGN
"Engineer, maintenance",LKR
Immunologist,SAR
"Journalist, magazine",TJS
"Copywriter, advertising",KYD
English as a foreign language teacher,MDL
"Librarian, academic",NZD
"Production designer, theatre/television/film",BHD
Fast food restaurant manager,WST
Oncologist,MGA
"Programmer, multimedia",BSD
Financial trader,COP
Forensic scientist,CZK
"Surveyor, rural practice",ISK
Facilities manager,VUV
Commercial art gallery manager,USD
Regulatory affairs officer,ISK
Investment analyst,MUR
Futures trader,MVR
Theatre stage manager,OMR
Arts administrator,MGA
Land,TTD
"Education officer, environmental",OMR
Chartered loss adjuster,RUB
"Education officer, museum",CZK
"Pharmacist, community",GGP
"Horticulturist, amenity",AED
Ship broker,MVR
"Lecturer, higher education",BWP
Medical illustrator,BWP
Quarry manager,BDT
"Merchandiser, retail",MXN
Neurosurgeon,NPR
Technical author,GTQ
Intelligence analyst,GNF
"Engineer, petroleum",NPR
Risk analyst,LSL
Sports development officer,TOP
Historic buildings inspector/conservation officer,IRR
"Civil engineer, contracting",BHD
Transport planner,NOK
"Engineer, maintenance (IT)",PGK
"Engineer, water",COP
Lobbyist,GNF
"Engineer, chemical",BWP
Clothing/textile technologist,HRK
Freight forwarder,HTG
"Surveyor, building control",AMD
Financial planner,HTG
Product designer,BDT
Proofreader,YER
Dispensing optician,BYR
Holiday representative,KYD
Data scientist,QAR
Records manager,BGN
Geochemist,DOP
"Designer, interior/spatial",CDF
"Civil engineer, consulting",ALL
Travel agency manager,PGK
Animal nutritionist,UZS
Energy engineer,IQD
Petroleum engineer,PEN
Lexicographer,EGP
"Clinical scientist, histocompatibility and immunogenetics",YER
Arts administrator,VND
"Research officer, political party",GHS
Magazine journalist,AMD
"Engineer, maintenance",MUR
Contracting civil engineer,TZS
TEFL teacher,HTG
"Programmer, multimedia",LAK
Trading standards officer,BAM
Materials engineer,CVE
Set designer,VUV
Arts development officer,IMP
Database administrator,SDG
"Scientist, marine",KZT
Armed forces technical officer,ZWD
"Engineer, structural",AED
Analytical chemist,SBD
"Administrator, sports",BYR
Chemical engineer,VUV
"Nurse, learning disability",NIO
"Engineer, automotive",JMD
"Journalist, broadcasting",BSD
Careers adviser,LRD
Tree surgeon,XAF
"Doctor, general practice",BWP
"Psychologist, educational",ILS
Immigration officer,ALL
Textile designer,RON
Estate agent,KHR
IT technical support officer,ZMW
Environmental consultant,LAK
"Solicitor, Scotland",CUP
Clothing/textile technologist,PHP
"Runner, broadcasting/film/video",HTG
Trade mark attorney,ERN
"Nurse, children's",BOB
"Journalist, newspaper",CHF
Theme park manager,IQD
"Designer, blown glass/stained glass",TOP
Music tutor,MMK
Technical brewer,FKP
Technical sales engineer,BBD
"Editor, magazine features",MRO
"Doctor, general practice",WST
Airline pilot,FKP
"Scientist, research (physical sciences)",AWG
Acupuncturist,SYP
Armed forces logistics/support/administrative officer,ILS
"Development worker, international aid",BYR
Drilling engineer,HUF
"Secretary, company",MWK
Marketing executive,PAB
Probation officer,USD
Records manager,SHP
Chief Executive Officer,CUC
Insurance broker,NPR
Emergency planning/management officer,LAK
"Designer, industrial/product",SPL
Community education officer,ILS
"Development worker, international aid",MUR
Trade mark attorney,ALL
Agricultural consultant,PAB
Industrial/product designer,BMD
"Programme researcher, broadcasting/film/video",MNT
Network engineer,CVE
"Geologist, wellsite",CDF
Warehouse manager,RON
"Engineer, energy",INR
"Therapist, occupational",FJD
Exhibition designer,BBD
IT technical support officer,HRK
Petroleum engineer,BRL
Diplomatic Services operational officer,CAD
Sports development officer,MYR
Paediatric nurse,SDG
Retail banker,LSL
TEFL teacher,RON
Sports development officer,EGP
"Engineer, materials",MXN
Medical technical officer,TOP
Drilling engineer,CUP
"Designer, furniture",JEP
Information officer,LYD
Network engineer,UZS
"Designer, industrial/product",BDT
Adult nurse,XAF
Tourism officer,NGN
Local government officer,JMD
"Conservator, furniture",IMP
Illustrator,CNY
Museum education officer,TMT
Podiatrist,MGA
Barrister,AUD
Mudlogger,BYR
"Engineer, production",XCD
Social worker,SYP
"Pharmacist, hospital",CDF
Mental health nurse,MGA
Charity fundraiser,AWG
Musician,FJD
Water quality scientist,GTQ
Research scientist (physical sciences),ALL
Field seismologist,TOP
Ergonomist,GEL
"Scientist, biomedical",SZL
Multimedia specialist,NAD
Pharmacologist,GIP
Neurosurgeon,AWG
"Administrator, arts",HNL
Art therapist,NPR
Emergency planning/management officer,SYP
Surgeon,LTL
"Education officer, museum",SVC
Call centre manager,CUC
"Nurse, adult",JOD
Heritage manager,KES
"Accountant, chartered public finance",BDT
Public relations account executive,ALL
Multimedia programmer,SDG
TEFL teacher,IDR
Publishing copy,CUC
"Conservation officer, historic buildings",GIP
"Therapist, drama",GGP
Catering manager,CZK
"Embryologist, clinical",GBP
Psychiatric nurse,TZS
Social worker,NPR
Retail banker,UAH
"Engineer, chemical",ZAR
"Engineer, civil (contracting)",MKD
Passenger transport manager,MMK
Copy,HNL
Customer service manager,AZN
Trade union research officer,TWD
Film/video editor,UGX
Marketing executive,THB
Television/film/video producer,LBP
"Accountant, chartered management",XPF
Astronomer,OMR
Clinical molecular geneticist,KHR
Production engineer,VND
Civil Service administrator,CLP
Civil Service administrator,JMD
Biomedical scientist,PEN
Hospital pharmacist,SGD
Passenger transport manager,XOF
Information systems manager,SHP
Hydrogeologist,ZAR
Insurance underwriter,KWD
"Therapist, drama",MZN
"Lecturer, further education",PYG
"Engineer, automotive",HNL
Advice worker,TND
Estate agent,TVD
Chief of Staff,GBP
Forensic scientist,WST
"Horticulturist, amenity",MNT
Waste management officer,NGN
Insurance underwriter,GNF
Armed forces technical officer,BAM
Furniture conservator/restorer,ERN
"Scientist, research (maths)",PLN
Chief Operating Officer,TOP
"Engineer, agricultural",BMD
"Engineer, civil (consulting)",AUD
General practice doctor,UGX
Photographer,CNY
"Administrator, Civil Service",NAD
Theme park manager,WST
General practice doctor,KMF
Statistician,MNT
"Engineer, agricultural",SAR
"Engineer, electrical",XDR
Occupational therapist,MMK
Public affairs consultant,CLP
Contractor,HRK
Legal secretary,COP
Pharmacologist,TWD
"Exhibitions officer, museum/gallery",HNL
Legal secretary,NPR
"Engineer, building services",IDR
Clothing/textile technologist,GBP
"Administrator, sports",XPF
"Surveyor, insurance",TJS
Professor Emeritus,JEP
Fitness centre manager,SGD
"Investment banker, operational",STD
Contractor,BND
Chartered loss adjuster,SDG
Press photographer,MAD
Medical laboratory scientific officer,KMF
Herbalist,LTL
Child psychotherapist,TMT
Geochemist,KZT
Arts development officer,CAD
Occupational therapist,MMK
Estate manager/land agent,NZD
Dietitian,VUV
"Designer, exhibition/display",HKD
Advertising copywriter,SRD
Science writer,FJD
"Engineer, building services",LRD
Field seismologist,PLN
Conference centre manager,GNF
Secondary school teacher,AWG
Telecommunications researcher,BHD
Veterinary surgeon,BDT
Stage manager,DKK
"Teacher, English as a foreign language",BWP
"Engineer, water",JOD
Technical author,NOK
"Surveyor, mining",RUB
"Scientist, research (physical sciences)",MUR
Medical illustrator,VND
"Social research officer, government",PLN
Trade mark attorney,WST
Museum/gallery exhibitions officer,JOD
Hotel manager,BYR
Art therapist,ISK
Environmental education officer,AFN
Chartered accountant,BWP
Astronomer,RSD
Barrister,ALL
"Surveyor, hydrographic",TVD
Insurance claims handler,KMF
Heritage manager,PLN
Information systems manager,NGN
"Buyer, retail",MWK
Passenger transport manager,NIO
Careers adviser,KWD
Osteopath,DKK
Podiatrist,JEP
"Loss adjuster, chartered",MDL
"Engineer, aeronautical",RWF
Engineering geologist,JPY
"Engineer, manufacturing",MWK
Hydrographic surveyor,AOA
Pharmacologist,KZT
Lawyer,YER
Photographer,MOP
Professor Emeritus,QAR
"Surveyor, mining",ILS
Copy,CAD
"Research officer, trade union",COP
"Civil engineer, consulting",ZMW
"Engineer, technical sales",ARS
Prison officer,CUP
Seismic interpreter,RSD
"Engineer, technical sales",HUF
"Editor, magazine features",BBD
Media planner,JEP
Office manager,NOK
Public librarian,STD
Microbiologist,PGK
Retail banker,UGX
Theatre manager,HKD
"Engineer, control and instrumentation",CHF
"Producer, radio",CNY
Industrial/product designer,KPW
International aid/development worker,SPL
Proofreader,ERN
Secondary school teacher,ZAR
Archaeologist,SZL
Technical sales engineer,QAR
Pathologist,LAK
"Engineer, energy",HTG
Public librarian,DKK
Air cabin crew,HNL
Set designer,KMF
Technical brewer,KRW
Sports therapist,SRD
Forest/woodland manager,CUC
Civil Service administrator,MMK
Exercise physiologist,GBP
Pensions consultant,ERN
"Pharmacist, community",GGP
Retail merchandiser,CAD
Dispensing optician,CAD
Optometrist,FJD
Acupuncturist,ZAR
Ambulance person,YER
"Buyer, industrial",DJF
Estate agent,TOP
Health and safety adviser,USD
"Administrator, sports",GBP
Artist,MMK
Printmaker,MYR
Lawyer,BZD
Chiropodist,KWD
"Nurse, learning disability",TOP
"Horticulturist, commercial",BZD
Health visitor,NOK
Proofreader,FKP
Emergency planning/management officer,ISK
Hospital pharmacist,PGK
Heritage manager,KYD
Colour technologist,KWD
"Journalist, newspaper",YER
"Designer, television/film set",PHP
Geophysicist/field seismologist,GIP
Fine artist,QAR
Equality and diversity officer,YER
"Geologist, wellsite",AUD
"Biochemist, clinical",JPY
"Engineer, communications",BTN
Dance movement psychotherapist,DKK
Media buyer,MRO
"Administrator, charities/voluntary organisations",AWG
Armed forces technical officer,CLP
Actor,SRD
Chartered public finance accountant,RUB
Counsellor,CDF
Retail buyer,COP
Clinical cytogeneticist,KWD
Rural practice surveyor,XOF
"Teacher, special educational needs",BGN
Licensed conveyancer,IRR
"Librarian, academic",LKR
Drilling engineer,JEP
"Therapist, sports",LSL
Sports therapist,SLL
IT trainer,TZS
"Engineer, building services",KPW
Theme park manager,CDF
Theatre manager,ILS
Fisheries officer,BRL
Veterinary surgeon,LBP
Advertising account executive,MVR
"Buyer, retail",GTQ
Horticultural therapist,XCD
Geophysical data processor,UYU
"Engineer, agricultural",UZS
"Designer, jewellery",AED
"Engineer, automotive",RON
Exercise physiologist,UZS
"Administrator, education",SVC
Multimedia specialist,MDL
Waste management officer,AOA
Claims inspector/assessor,HTG
"Editor, film/video",BBD
Environmental education officer,SGD
Nutritional therapist,BIF
Museum/gallery exhibitions officer,SEK
"Doctor, hospital",JOD
"Engineer, maintenance",ANG
"Therapist, sports",TRY
Petroleum engineer,VEF
Ambulance person,IMP
Museum education officer,BRL
"Embryologist, clinical",PAB
Ship broker,GYD
"Engineer, technical sales",UAH
Associate Professor,HTG
"Nurse, adult",UGX
Armed forces training and education officer,JOD
Health physicist,HTG
Financial trader,MAD
Systems developer,TMT
"Doctor, hospital",MOP
"Scientist, water quality",HNL
Visual merchandiser,RUB
Financial trader,BGN
Chiropractor,EUR
Physiotherapist,MVR
Recycling officer,DKK
Television camera operator,HKD
International aid/development worker,MXN
Travel agency manager,BHD
Holiday representative,IRR
Barrister's clerk,KHR
Chartered management accountant,BTN
"Sound technician, broadcasting/film/video",UGX
IT sales professional,JPY
Psychiatric nurse,DJF
"Accountant, chartered",JPY
"Administrator, sports",KMF
"Investment banker, corporate",JPY
Holiday representative,ZWD
Passenger transport manager,CAD
Museum/gallery conservator,TRY
"Teacher, music",VEF
Clinical molecular geneticist,WST
Chartered certified accountant,PYG
Media planner,XPF
Field trials officer,ZAR
Herpetologist,VND
Analytical chemist,UYU
Brewing technologist,BSD
Photographer,BRL
Management consultant,CRC
Freight forwarder,HKD
Heritage manager,PAB
Ceramics designer,HNL
"Engineer, civil (contracting)",GHS
"Development worker, community",MVR
"Engineer, site",IQD
Broadcast presenter,PGK
"Production designer, theatre/television/film",THB
Chief Marketing Officer,KPW
Broadcast presenter,AMD
Environmental manager,JEP
Automotive engineer,KWD
"Restaurant manager, fast food",KRW
Gaffer,BIF
Fisheries officer,HUF
"Teacher, early years/pre",BBD
Careers adviser,GEL
Metallurgist,HNL
Research scientist (maths),UZS
"Scientist, water quality",TOP
Accommodation manager,RWF
"Development worker, international aid",SEK
"Administrator, Civil Service",KES
Ophthalmologist,PLN
Tax inspector,PAB
"Surveyor, building control",LSL
"Teacher, primary school",ARS
Ship broker,BWP
"Accountant, chartered management",HKD
"Development worker, international aid",AUD
Financial controller,SYP
Public librarian,OMR
"Engineer, land",ERN
"Scientist, research (medical)",XCD
Sport and exercise psychologist,GGP
Oceanographer,SDG
Archaeologist,BWP
Industrial buyer,PEN
Research scientist (maths),AMD
Ranger/warden,FKP
Television floor manager,TND
"Surveyor, hydrographic",LYD
"Designer, television/film set",ISK
Clinical molecular geneticist,BND
IT sales professional,HTG
Radiation protection practitioner,EUR
"Radiographer, diagnostic",USD
Homeopath,FKP
"Physicist, medical",COP
Set designer,MYR
Trade union research officer,BDT
"Engineer, broadcasting (operations)",KZT
Acupuncturist,SOS
Jewellery designer,CAD
"Engineer, chemical",AUD
Art gallery manager,LKR
"Surveyor, building",UAH
"Engineer, petroleum",NGN
Emergency planning/management officer,MOP
Chemical engineer,PAB
Dancer,GTQ
Actuary,RWF
Radio producer,PKR
Sports therapist,TOP
"Surveyor, land/geomatics",HNL
"Surveyor, quantity",BBD
Barrister's clerk,BYR
"Therapist, speech and language",HRK
Licensed conveyancer,PGK
"Surveyor, rural practice",CRC
"Surveyor, commercial/residential",BDT
Musician,NIO
Medical sales representative,IQD
Purchasing manager,LAK
Counsellor,KYD
Horticultural consultant,DJF
Metallurgist,ILS
Housing manager/officer,KPW
Sports administrator,HTG
"Education officer, museum",INR
"Scientist, water quality",SYP
Data scientist,NGN
Press sub,CUC
IT trainer,GGP
"Production designer, theatre/television/film",ISK
Financial trader,SVC
Architect,SGD
Commercial art gallery manager,SDG
"Librarian, public",SEK
Trade mark attorney,JOD
"Therapist, art",YER
Personal assistant,RUB
"Administrator, charities/voluntary organisations",AWG
Ship broker,COP
Jewellery designer,RWF
Dispensing optician,BTN
Medical sales representative,IDR
Communications engineer,CZK
Housing manager/officer,KHR
Farm manager,RWF
Art therapist,TVD
Medical technical officer,INR
Special educational needs teacher,ETB
Passenger transport manager,SYP
Armed forces technical officer,KGS
Production engineer,DOP
Manufacturing systems engineer,EGP
Claims inspector/assessor,KMF
Retail manager,TWD
Prison officer,EUR
"Surveyor, commercial/residential",AFN
"Teacher, music",MAD
Information systems manager,UAH
Pharmacologist,AFN
Sports administrator,ALL
Ceramics designer,WST
Chartered loss adjuster,PHP
"Nurse, learning disability",IMP
Corporate treasurer,ANG
"Designer, interior/spatial",BOB
Comptroller,GIP
International aid/development worker,ZAR
"Production assistant, television",NIO
Educational psychologist,CUP
Armed forces operational officer,AFN
Marketing executive,DZD
Chief Strategy Officer,TWD
Prison officer,BAM
Agricultural consultant,KRW
Retail manager,BND
"Nurse, children's",CUP
Scientific laboratory technician,LSL
"Surveyor, mining",VEF
Hydrogeologist,SLL
Press photographer,COP
Hydrogeologist,ZAR
Pension scheme manager,ETB
Office manager,KRW
Forest/woodland manager,UZS
Warehouse manager,BND
"Teacher, special educational needs",WST
"Therapist, horticultural",PGK
Physiotherapist,RON
Astronomer,LRD
Personal assistant,MDL
"Administrator, sports",TZS
Furniture designer,UYU
Optometrist,BHD
"Geneticist, molecular",UAH
Graphic designer,XAF
Interior and spatial designer,UZS
Paramedic,JPY
Operations geologist,GIP
Manufacturing engineer,MWK
Statistician,UGX
Curator,VUV
Site engineer,SLL
"Engineer, biomedical",TWD
"Development worker, international aid",GYD
Pharmacologist,LKR
Broadcast presenter,RWF
Sports therapist,GHS
"Engineer, agricultural",KZT
Science writer,PAB
"Engineer, materials",MWK
Paramedic,DOP
Tour manager,OMR
Water quality scientist,BSD
Commercial art gallery manager,GMD
Hydrogeologist,SOS
"Administrator, charities/voluntary organisations",NGN
Customer service manager,MGA
"Journalist, broadcasting",RON
"Sound technician, broadcasting/film/video",UYU
"Psychologist, counselling",CNY
Sports therapist,TWD
Science writer,KES
Geographical information systems officer,BMD
Astronomer,AUD
Theatre stage manager,BMD
Interpreter,SZL
Neurosurgeon,AED
"Administrator, charities/voluntary organisations",HTG
Garment/textile technologist,PAB
"Surveyor, commercial/residential",ALL
Physiotherapist,BDT
Information systems manager,UAH
Publishing copy,UZS
"Civil engineer, consulting",GNF
Chief Financial Officer,KES
Sports therapist,MOP
Petroleum engineer,BRL
"Buyer, retail",KMF
"Designer, industrial/product",TVD
Horticultural consultant,KMF
Chief of Staff,PLN
Arboriculturist,LKR
Publishing copy,CUP
"Engineer, land",DOP
"Doctor, general practice",BYR
"Doctor, general practice",TRY
Armed forces logistics/support/administrative officer,GEL
Research scientist (maths),XPF
"Doctor, general practice",SGD
Telecommunications researcher,SRD
"Nurse, learning disability",GGP
Warehouse manager,GEL
"Scientist, biomedical",ISK
Software engineer,MUR
Chief Financial Officer,MOP
Television floor manager,KPW
Human resources officer,RUB
Cytogeneticist,TVD
Further education lecturer,MXN
Multimedia specialist,YER
Acupuncturist,LKR
"Nurse, adult",MZN
Hydrographic surveyor,YER
"Conservation officer, nature",MAD
Photographer,AZN
"Designer, exhibition/display",SOS
Market researcher,SVC
"Lecturer, further education",XCD
"Psychologist, clinical",AFN
"Engineer, materials",BBD
Armed forces technical officer,SCR
"Presenter, broadcasting",BZD
Public librarian,BSD
Building surveyor,ZWD
Veterinary surgeon,AZN
Archaeologist,MKD
Medical illustrator,TVD
Ceramics designer,MWK
Chartered legal executive (England and Wales),BRL
Printmaker,MUR
"Civil engineer, consulting",CUC
Associate Professor,BTN
"Exhibitions officer, museum/gallery",ILS
Newspaper journalist,PLN
Public affairs consultant,ISK
Newspaper journalist,AMD
Advertising copywriter,PAB
"Engineer, energy",MDL
Medical physicist,GTQ
Adult guidance worker,CUP
"Pharmacist, community",ZAR
Consulting civil engineer,LYD
Pathologist,KMF
Land,GNF
Counsellor,EGP
Illustrator,SVC
Lobbyist,WST
"Engineer, mining",JOD
Computer games developer,MUR
Clothing/textile technologist,LTL
Best boy,BDT
Conference centre manager,IMP
IT technical support officer,KYD
"Designer, interior/spatial",GGP
Seismic interpreter,DKK
Interpreter,NGN
Training and development officer,MZN
"Secretary, company",UAH
Location manager,VEF
Wellsite geologist,SVC
"Conservator, museum/gallery",STD
Geographical information systems officer,MGA
Chemical engineer,RON
Careers adviser,BIF
"Radiographer, diagnostic",SVC
"Engineer, agricultural",CUC
Forest/woodland manager,LTL
Community pharmacist,UYU
Community arts worker,CVE
"Designer, television/film set",AMD
Educational psychologist,TOP
Chief Strategy Officer,ETB
Investment analyst,CUC
IT consultant,IMP
"Surveyor, planning and development",CUP
Accounting technician,GMD
Paramedic,GMD
"Administrator, sports",PHP
Advice worker,MVR
Facilities manager,CHF
Personal assistant,STD
Environmental manager,STD
Hospital doctor,ARS
Counsellor,SRD
"Nurse, children's",PGK
Patent attorney,SPL
Ambulance person,VEF
"Scientist, physiological",SBD
Child psychotherapist,TJS
"Horticulturist, commercial",MXN
"Therapist, drama",TRY
Market researcher,LSL
Hospital pharmacist,MGA
Jewellery designer,SDG
Regulatory affairs officer,KWD
Chief Strategy Officer,BAM
"Research officer, government",LBP
Legal secretary,MDL
Careers adviser,XPF
Insurance risk surveyor,JMD
English as a foreign language teacher,BIF
Computer games developer,XCD
Publishing rights manager,BIF
"Programmer, systems",VEF
Textile designer,LKR
Product designer,SOS
Recycling officer,IDR
Consulting civil engineer,AMD
Oncologist,NOK
Minerals surveyor,MOP
IT technical support officer,SLL
Bookseller,KHR
Barrister,AED
Plant breeder/geneticist,SPL
"Surveyor, insurance",SPL
Press photographer,BRL
Records manager,CLP
"Therapist, sports",ALL
Physiological scientist,LYD
"Editor, commissioning",KRW
Animal nutritionist,ISK
Brewing technologist,DZD
Applications developer,MRO
Psychiatric nurse,SEK
Training and development officer,OMR
"Production designer, theatre/television/film",IRR
"Conservation officer, historic buildings",TZS
Speech and language therapist,KMF
Equities trader,ZAR
English as a second language teacher,BHD
Mental health nurse,INR
Fish farm manager,UZS
Armed forces technical officer,MMK
Network engineer,XCD
Land,GTQ
Manufacturing systems engineer,MAD
Emergency planning/management officer,SAR
"Runner, broadcasting/film/video",KMF
"Social research officer, government",USD
Futures trader,AED
Geographical information systems officer,BAM
Information systems manager,HKD
"Engineer, structural",MOP
Civil Service fast streamer,CDF
Social worker,XOF
Field trials officer,MYR
Recycling officer,QAR
Chief Marketing Officer,KMF
Landscape architect,TJS
Community arts worker,SLL
Chiropractor,HKD
"Engineer, production",KGS
Chief Strategy Officer,VUV
Insurance risk surveyor,USD
Tree surgeon,AMD
"Scientist, research (maths)",AZN
Trade mark attorney,CZK
"Education officer, environmental",GIP
Glass blower/designer,VND
"Engineer, materials",IRR
Chief Financial Officer,MRO
Professor Emeritus,XOF
"Accountant, chartered certified",LAK
"Teacher, adult education",PYG
Firefighter,KRW
Clinical biochemist,IDR
"Designer, exhibition/display",ZAR
Environmental consultant,SHP
Naval architect,SHP
Marketing executive,DKK
Waste management officer,VEF
Interpreter,SPL
Special effects artist,TND
"Scientist, biomedical",SGD
